Distance to run: 100, step: 1
6080:(x,y) = (-26.7507 , 2.3531)
6081:(x,y) = (-26.9072 , 3.34079)
6082:(x,y) = (-26.82 , 2.34459)
6083:(x,y) = (-27.2895 , 3.22754)
6084:(x,y) = (-27.9841 , 2.5082)
6085:(x,y) = (-27.7762 , 1.53005)
6086:(x,y) = (-27.7065 , 0.53249)
6087:(x,y) = (-27.8283 , -0.460056)
6088:(x,y) = (-27.2548 , -1.27921)
6089:(x,y) = (-26.2731 , -1.47002)
6090:(x,y) = (-27.0045 , -0.788019)
6091:(x,y) = (-26.4309 , -1.60717)
6092:(x,y) = (-25.4311 , -1.62462)
6093:(x,y) = (-24.4975 , -1.26626)
6094:(x,y) = (-23.5839 , -1.67299)
6095:(x,y) = (-24.5785 , -1.56846)
6096:(x,y) = (-25.571 , -1.44659)
6097:(x,y) = (-24.8279 , -2.11572)
6098:(x,y) = (-25.3429 , -1.25856)
6099:(x,y) = (-24.7136 , -2.0357)
6100:(x,y) = (-25.1362 , -2.94201)
6101:(x,y) = (-24.6978 , -2.04322)
6102:(x,y) = (-24.9567 , -3.00914)
6103:(x,y) = (-25.8963 , -3.35116)
6104:(x,y) = (-25.4115 , -2.47654)
6105:(x,y) = (-26.1996 , -3.0922)
6106:(x,y) = (-25.2147 , -3.26585)
6107:(x,y) = (-25.3712 , -4.25354)
6108:(x,y) = (-26.2283 , -4.76858)
6109:(x,y) = (-25.7133 , -3.91141)
6110:(x,y) = (-25.7831 , -2.91385)
6111:(x,y) = (-25.0517 , -3.59585)
6112:(x,y) = (-24.1857 , -3.09585)
6113:(x,y) = (-23.198 , -2.93941)
6114:(x,y) = (-22.5962 , -3.73805)
6115:(x,y) = (-23.2118 , -2.95004)
6116:(x,y) = (-22.8535 , -3.88362)
6117:(x,y) = (-22.9058 , -2.88499)
6118:(x,y) = (-22.0578 , -2.35507)
6119:(x,y) = (-22.617 , -3.18411)
6120:(x,y) = (-21.9223 , -3.90345)
6121:(x,y) = (-21.1676 , -3.24739)
6122:(x,y) = (-20.5798 , -2.43837)
6123:(x,y) = (-21.5743 , -2.5429)
6124:(x,y) = (-21.1049 , -1.65995)
6125:(x,y) = (-21.244 , -2.65022)
6126:(x,y) = (-20.244 , -2.65022)
6127:(x,y) = (-20.8176 , -3.46937)
6128:(x,y) = (-20.8525 , -2.46998)
6129:(x,y) = (-21.3675 , -1.61281)
6130:(x,y) = (-20.8083 , -0.783775)
6131:(x,y) = (-19.8878 , -1.17451)
6132:(x,y) = (-19.3432 , -0.335835)
6133:(x,y) = (-20.3418 , -0.388171)
6134:(x,y) = (-19.699 , 0.377873)
6135:(x,y) = (-20.1685 , 1.26082)
6136:(x,y) = (-20.0988 , 0.263257)
6137:(x,y) = (-20.0639 , -0.736134)
6138:(x,y) = (-20.3894 , -1.68165)
6139:(x,y) = (-20.963 , -0.862501)
6140:(x,y) = (-20.0884 , -1.34731)
6141:(x,y) = (-19.1225 , -1.60613)
6142:(x,y) = (-18.4278 , -2.32547)
6143:(x,y) = (-19.0296 , -3.1241)
6144:(x,y) = (-19.7243 , -3.84344)
6145:(x,y) = (-19.8807 , -4.83113)
6146:(x,y) = (-18.8809 , -4.81368)
6147:(x,y) = (-18.0148 , -4.31368)
6148:(x,y) = (-18.6968 , -5.04503)
6149:(x,y) = (-18.784 , -6.04123)
6150:(x,y) = (-19.5271 , -5.3721)
6151:(x,y) = (-20.527 , -5.38955)
6152:(x,y) = (-19.9392 , -6.19857)
6153:(x,y) = (-19.5008 , -5.29977)
6154:(x,y) = (-18.5083 , -5.1779)
6155:(x,y) = (-19.0083 , -6.04393)
6156:(x,y) = (-18.1696 , -6.58857)
6157:(x,y) = (-18.6846 , -7.44574)
6158:(x,y) = (-17.7103 , -7.67069)
6159:(x,y) = (-17.3519 , -8.60427)
6160:(x,y) = (-17.9676 , -9.39228)
6161:(x,y) = (-17.863 , -10.3868)
6162:(x,y) = (-18.6402 , -9.75748)
6163:(x,y) = (-18.3146 , -10.703)
6164:(x,y) = (-18.4711 , -9.71531)
6165:(x,y) = (-19.4527 , -9.90612)
6166:(x,y) = (-19.2962 , -10.8938)
6167:(x,y) = (-18.3219 , -10.6689)
6168:(x,y) = (-17.4156 , -11.0915)
6169:(x,y) = (-18.4033 , -10.935)
6170:(x,y) = (-17.4184 , -10.7614)
6171:(x,y) = (-18.4178 , -10.7265)
6172:(x,y) = (-17.5349 , -10.257)
6173:(x,y) = (-16.7259 , -10.8448)
6174:(x,y) = (-16.0966 , -10.0677)
6175:(x,y) = (-16.3554 , -11.0336)
6176:(x,y) = (-16.4945 , -10.0433)
6177:(x,y) = (-16.2526 , -11.0136)
6178:(x,y) = (-17.1731 , -10.6229)
6179:(x,y) = (-16.354 , -11.1965)
6180:(x,y) = (-17.3388 , -11.3701)
6181:(x,y) = (-16.9162 , -12.2764)
6182:(x,y) = (-15.9651 , -11.9674)
6183:(x,y) = (-14.9748 , -11.8282)
6184:(x,y) = (-13.9748 , -11.8282)
6185:(x,y) = (-13.076 , -11.3899)
6186:(x,y) = (-13.5911 , -10.5327)
6187:(x,y) = (-14.5366 , -10.8583)
6188:(x,y) = (-14.6238 , -11.8544)
6189:(x,y) = (-14.9328 , -10.9034)
6190:(x,y) = (-15.5756 , -10.1373)
6191:(x,y) = (-16.3187 , -9.46822)
6192:(x,y) = (-16.5606 , -10.4385)
6193:(x,y) = (-16.5432 , -11.4384)
6194:(x,y) = (-16.0584 , -12.313)
6195:(x,y) = (-15.0608 , -12.3827)
6196:(x,y) = (-14.162 , -12.8211)
6197:(x,y) = (-14.1795 , -11.8213)
6198:(x,y) = (-14.6643 , -12.6959)
6199:(x,y) = (-14.035 , -13.473)
6200:(x,y) = (-14.1741 , -14.4633)
6201:(x,y) = (-14.7333 , -13.6343)
6202:(x,y) = (-13.7335 , -13.6517)
6203:(x,y) = (-14.6845 , -13.3427)
6204:(x,y) = (-13.9185 , -13.9855)
6205:(x,y) = (-13.2757 , -13.2194)
6206:(x,y) = (-12.9501 , -14.165)
6207:(x,y) = (-12.6081 , -15.1046)
6208:(x,y) = (-11.7018 , -15.5273)
6209:(x,y) = (-11.632 , -14.5297)
6210:(x,y) = (-12.2339 , -13.7311)
6211:(x,y) = (-11.4352 , -13.1293)
6212:(x,y) = (-10.508 , -12.7546)
6213:(x,y) = (-11.3371 , -12.1955)
6214:(x,y) = (-11.2152 , -13.188)
6215:(x,y) = (-11.4908 , -14.1493)
6216:(x,y) = (-10.7715 , -13.4546)
6217:(x,y) = (-9.9835 , -12.8389)
6218:(x,y) = (-10.0358 , -11.8403)
6219:(x,y) = (-9.40651 , -12.6175)
6220:(x,y) = (-8.46099 , -12.2919)
6221:(x,y) = (-8.54815 , -11.2957)
6222:(x,y) = (-7.79344 , -11.9518)
6223:(x,y) = (-7.70628 , -12.9479)
6224:(x,y) = (-8.22132 , -13.8051)
6225:(x,y) = (-8.87738 , -13.0504)
6226:(x,y) = (-9.67602 , -12.4486)
6227:(x,y) = (-10.5147 , -12.9932)
6228:(x,y) = (-11.2578 , -13.6624)
6229:(x,y) = (-10.3515 , -13.2397)
6230:(x,y) = (-9.53237 , -12.6662)
6231:(x,y) = (-8.53481 , -12.7359)
6232:(x,y) = (-9.39197 , -12.2209)
6233:(x,y) = (-9.46173 , -13.2184)
6234:(x,y) = (-10.3889 , -12.8438)
6235:(x,y) = (-9.4434 , -13.1694)
6236:(x,y) = (-8.71204 , -13.8514)
6237:(x,y) = (-7.946 , -14.4942)
6238:(x,y) = (-7.9111 , -15.4936)
6239:(x,y) = (-8.87236 , -15.2179)
6240:(x,y) = (-8.73319 , -16.2082)
6241:(x,y) = (-7.95604 , -15.5789)
6242:(x,y) = (-7.66367 , -14.6226)
6243:(x,y) = (-8.65394 , -14.4834)
6244:(x,y) = (-9.65013 , -14.5706)
6245:(x,y) = (-8.66532 , -14.7442)
6246:(x,y) = (-8.25859 , -13.8307)
6247:(x,y) = (-8.91465 , -14.5854)
6248:(x,y) = (-9.07108 , -15.5731)
6249:(x,y) = (-8.21391 , -15.058)
6250:(x,y) = (-7.58459 , -14.2809)
6251:(x,y) = (-7.41095 , -15.2657)
6252:(x,y) = (-8.01276 , -14.4671)
6253:(x,y) = (-8.48223 , -15.35)
6254:(x,y) = (-9.44816 , -15.6088)
6255:(x,y) = (-8.45364 , -15.5043)
6256:(x,y) = (-8.87625 , -16.4106)
6257:(x,y) = (-7.94267 , -16.769)
6258:(x,y) = (-7.96013 , -15.7691)
6259:(x,y) = (-8.2525 , -14.8128)
6260:(x,y) = (-8.81169 , -15.6419)
6261:(x,y) = (-7.8123 , -15.6768)
6262:(x,y) = (-6.90599 , -16.0994)
6263:(x,y) = (-7.13094 , -17.0737)
6264:(x,y) = (-7.2181 , -18.0699)
6265:(x,y) = (-6.22358 , -17.9654)
6266:(x,y) = (-6.7535 , -18.8135)
6267:(x,y) = (-6.82325 , -17.8159)
6268:(x,y) = (-5.99422 , -18.3751)
6269:(x,y) = (-5.06703 , -18.0005)
6270:(x,y) = (-5.27494 , -18.9786)
6271:(x,y) = (-5.71331 , -19.8774)
6272:(x,y) = (-5.24384 , -18.9945)
6273:(x,y) = (-6.16435 , -19.3852)
6274:(x,y) = (-5.61971 , -18.5465)
6275:(x,y) = (-6.10452 , -17.6719)
6276:(x,y) = (-7.07889 , -17.8969)
6277:(x,y) = (-7.62353 , -17.0582)
6278:(x,y) = (-6.6419 , -17.249)
6279:(x,y) = (-6.71166 , -16.2514)
6280:(x,y) = (-7.61796 , -15.8288)
6281:(x,y) = (-7.58306 , -16.8282)
6282:(x,y) = (-7.9898 , -17.7418)
6283:(x,y) = (-8.8886 , -17.3034)
6284:(x,y) = (-7.9898 , -16.865)
6285:(x,y) = (-7.29514 , -17.5844)
6286:(x,y) = (-8.23484 , -17.2423)
6287:(x,y) = (-8.19994 , -18.2417)
6288:(x,y) = (-9.16586 , -17.9829)
6289:(x,y) = (-9.49143 , -18.9284)
6290:(x,y) = (-8.54591 , -18.6029)
6291:(x,y) = (-7.7912 , -17.9468)
6292:(x,y) = (-8.13322 , -18.8865)
6293:(x,y) = (-7.13703 , -18.9737)
6294:(x,y) = (-8.12184 , -18.8)
6295:(x,y) = (-7.23083 , -18.346)
6296:(x,y) = (-7.83264 , -19.1446)
6297:(x,y) = (-7.659 , -20.1295)
6298:(x,y) = (-8.17403 , -19.2723)
6299:(x,y) = (-9.11955 , -19.5979)
6300:(x,y) = (-8.57491 , -20.4365)
6301:(x,y) = (-7.62939 , -20.111)
6302:(x,y) = (-6.92229 , -20.8181)
6303:(x,y) = (-5.92609 , -20.7309)
6304:(x,y) = (-5.99585 , -19.7333)
6305:(x,y) = (-5.0177 , -19.5254)
6306:(x,y) = (-5.57689 , -18.6964)
6307:(x,y) = (-5.28452 , -19.6527)
6308:(x,y) = (-4.29425 , -19.5135)
6309:(x,y) = (-3.32833 , -19.7723)
6310:(x,y) = (-3.60397 , -20.7336)
6311:(x,y) = (-2.78481 , -20.16)
6312:(x,y) = (-3.41413 , -19.3829)
6313:(x,y) = (-4.18018 , -18.7401)
6314:(x,y) = (-5.16787 , -18.8965)
6315:(x,y) = (-6.08141 , -18.4898)
6316:(x,y) = (-5.25238 , -19.049)
6317:(x,y) = (-6.00709 , -19.7051)
6318:(x,y) = (-5.63248 , -18.7779)
6319:(x,y) = (-6.28854 , -18.0232)
6320:(x,y) = (-5.32728 , -18.2988)
6321:(x,y) = (-4.57257 , -18.9549)
6322:(x,y) = (-5.56283 , -18.8157)
6323:(x,y) = (-6.15062 , -19.6247)
6324:(x,y) = (-7.14514 , -19.7292)
6325:(x,y) = (-7.97418 , -20.2884)
6326:(x,y) = (-8.65618 , -19.5571)
6327:(x,y) = (-8.14114 , -18.6999)
6328:(x,y) = (-8.84825 , -17.9928)
6329:(x,y) = (-9.12388 , -18.9541)
6330:(x,y) = (-9.76667 , -18.188)
6331:(x,y) = (-9.55876 , -17.2099)
6332:(x,y) = (-10.3779 , -16.6363)
6333:(x,y) = (-10.3082 , -15.6387)
6334:(x,y) = (-9.60105 , -16.3458)
6335:(x,y) = (-10.1161 , -17.203)
6336:(x,y) = (-9.25006 , -17.703)
6337:(x,y) = (-9.05925 , -16.7214)
6338:(x,y) = (-8.28211 , -16.092)
6339:(x,y) = (-9.14813 , -16.592)
6340:(x,y) = (-8.69414 , -17.4831)
6341:(x,y) = (-8.30341 , -18.4036)
6342:(x,y) = (-8.72603 , -19.3099)
6343:(x,y) = (-8.25656 , -20.1928)
6344:(x,y) = (-7.68298 , -21.012)
6345:(x,y) = (-7.09519 , -21.821)
6346:(x,y) = (-7.16495 , -20.8234)
6347:(x,y) = (-7.13005 , -21.8228)
6348:(x,y) = (-8.10442 , -21.5979)
6349:(x,y) = (-7.27538 , -21.0387)
6350:(x,y) = (-6.54403 , -20.3567)
6351:(x,y) = (-7.42698 , -19.8872)
6352:(x,y) = (-8.12164 , -20.6065)
6353:(x,y) = (-8.08674 , -19.6071)
6354:(x,y) = (-8.29465 , -20.5853)
6355:(x,y) = (-7.67899 , -19.7973)
6356:(x,y) = (-7.14907 , -20.6453)
6357:(x,y) = (-7.2536 , -21.6399)
6358:(x,y) = (-6.29233 , -21.9155)
6359:(x,y) = (-6.06738 , -20.9411)
6360:(x,y) = (-6.99457 , -20.5665)
6361:(x,y) = (-6.02427 , -20.8084)
6362:(x,y) = (-6.93058 , -20.3858)
6363:(x,y) = (-6.37139 , -21.2149)
6364:(x,y) = (-6.06237 , -20.2638)
6365:(x,y) = (-5.11131 , -20.5728)
6366:(x,y) = (-4.53774 , -19.7537)
6367:(x,y) = (-4.45058 , -20.7499)
6368:(x,y) = (-4.04384 , -21.6634)
6369:(x,y) = (-4.1136 , -20.6658)
6370:(x,y) = (-4.68718 , -19.8467)
6371:(x,y) = (-5.3165 , -20.6238)
6372:(x,y) = (-5.50731 , -21.6055)
6373:(x,y) = (-4.52568 , -21.4146)
6374:(x,y) = (-5.50731 , -21.2238)
6375:(x,y) = (-6.41361 , -21.6465)
6376:(x,y) = (-7.4013 , -21.8029)
6377:(x,y) = (-8.12064 , -21.1082)
6378:(x,y) = (-7.13902 , -21.299)
6379:(x,y) = (-7.79507 , -22.0538)
6380:(x,y) = (-8.77988 , -21.8801)
6381:(x,y) = (-8.88441 , -22.8746)
6382:(x,y) = (-9.17678 , -23.8309)
6383:(x,y) = (-8.36777 , -23.2431)
6384:(x,y) = (-7.3775 , -23.3823)
6385:(x,y) = (-6.45699 , -22.9916)
6386:(x,y) = (-5.67985 , -23.6209)
6387:(x,y) = (-6.65422 , -23.396)
6388:(x,y) = (-6.36184 , -24.3523)
6389:(x,y) = (-7.36047 , -24.2999)
6390:(x,y) = (-7.79885 , -25.1987)
6391:(x,y) = (-7.72909 , -24.2012)
6392:(x,y) = (-8.68539 , -23.9088)
6393:(x,y) = (-8.65049 , -24.9082)
6394:(x,y) = (-8.78967 , -25.8984)
6395:(x,y) = (-9.09868 , -24.9474)
6396:(x,y) = (-9.37432 , -25.9086)
6397:(x,y) = (-8.64297 , -26.5906)
6398:(x,y) = (-7.72246 , -26.1999)
6399:(x,y) = (-8.71273 , -26.3391)
6400:(x,y) = (-8.09707 , -25.5511)
6401:(x,y) = (-8.94512 , -25.0212)
6402:(x,y) = (-8.58675 , -25.9547)
6403:(x,y) = (-9.58538 , -26.0071)
6404:(x,y) = (-8.72821 , -25.492)
6405:(x,y) = (-7.83721 , -25.946)
6406:(x,y) = (-6.95426 , -25.4766)
6407:(x,y) = (-7.00659 , -24.4779)
6408:(x,y) = (-7.33216 , -23.5324)
6409:(x,y) = (-7.69053 , -24.466)
6410:(x,y) = (-6.90252 , -25.0817)
6411:(x,y) = (-7.77714 , -24.5968)
6412:(x,y) = (-8.67593 , -24.1585)
6413:(x,y) = (-9.49509 , -24.732)
6414:(x,y) = (-8.99509 , -23.866)
6415:(x,y) = (-8.04403 , -23.557)
6416:(x,y) = (-8.57395 , -24.4051)
6417:(x,y) = (-7.64037 , -24.0467)
6418:(x,y) = (-8.63656 , -24.1338)
6419:(x,y) = (-7.84855 , -23.5182)
6420:(x,y) = (-7.50653 , -22.5785)
6421:(x,y) = (-6.97661 , -23.4265)
6422:(x,y) = (-7.5358 , -22.5975)
6423:(x,y) = (-7.79462 , -21.6316)
6424:(x,y) = (-7.72487 , -20.634)
6425:(x,y) = (-6.82607 , -20.1956)
6426:(x,y) = (-7.66474 , -20.7403)
6427:(x,y) = (-8.51279 , -21.2702)
6428:(x,y) = (-9.33194 , -21.8438)
6429:(x,y) = (-9.64096 , -20.8927)
6430:(x,y) = (-9.58863 , -21.8913)
6431:(x,y) = (-10.3433 , -21.2353)
6432:(x,y) = (-10.5683 , -22.2097)
6433:(x,y) = (-10.3264 , -21.2394)
6434:(x,y) = (-9.52773 , -21.8412)
6435:(x,y) = (-10.4674 , -21.4992)
6436:(x,y) = (-9.81136 , -20.7444)
6437:(x,y) = (-10.5427 , -21.4264)
6438:(x,y) = (-10.8351 , -22.3827)
6439:(x,y) = (-9.96906 , -21.8827)
6440:(x,y) = (-9.00314 , -22.1416)
6441:(x,y) = (-8.9508 , -21.1429)
6442:(x,y) = (-9.95019 , -21.1778)
6443:(x,y) = (-10.7049 , -20.5218)
6444:(x,y) = (-11.6994 , -20.4172)
6445:(x,y) = (-12.1689 , -21.3002)
6446:(x,y) = (-11.2943 , -20.8154)
6447:(x,y) = (-10.6925 , -20.0168)
6448:(x,y) = (-11.3996 , -19.3096)
6449:(x,y) = (-11.3472 , -18.311)
6450:(x,y) = (-10.5486 , -18.9128)
6451:(x,y) = (-11.4549 , -19.3354)
6452:(x,y) = (-11.6113 , -20.3231)
6453:(x,y) = (-11.559 , -19.3245)
6454:(x,y) = (-10.9162 , -20.0906)
6455:(x,y) = (-11.6934 , -20.7199)
6456:(x,y) = (-10.7274 , -20.9787)
6457:(x,y) = (-9.91842 , -20.3909)
6458:(x,y) = (-9.59285 , -19.4454)
6459:(x,y) = (-10.5325 , -19.7874)
6460:(x,y) = (-11.3416 , -19.1996)
6461:(x,y) = (-12.1506 , -19.7874)
6462:(x,y) = (-12.9986 , -20.3173)
6463:(x,y) = (-12.9463 , -21.316)
6464:(x,y) = (-12.5556 , -22.2365)
6465:(x,y) = (-13.5518 , -22.1493)
6466:(x,y) = (-13.2761 , -21.188)
6467:(x,y) = (-12.3251 , -21.4971)
6468:(x,y) = (-12.3251 , -22.4971)
6469:(x,y) = (-13.2706 , -22.8226)
6470:(x,y) = (-12.2962 , -22.5977)
6471:(x,y) = (-12.555 , -23.5636)
6472:(x,y) = (-12.2627 , -24.5199)
6473:(x,y) = (-11.8719 , -23.5994)
6474:(x,y) = (-11.9417 , -24.597)
6475:(x,y) = (-12.1325 , -23.6153)
6476:(x,y) = (-11.5032 , -24.3925)
6477:(x,y) = (-11.0648 , -25.2913)
6478:(x,y) = (-10.166 , -24.8529)
6479:(x,y) = (-10.0615 , -23.8584)
6480:(x,y) = (-10.3203 , -24.8243)
6481:(x,y) = (-9.33866 , -25.0151)
6482:(x,y) = (-10.2842 , -24.6896)
6483:(x,y) = (-11.1977 , -24.2828)
6484:(x,y) = (-10.5821 , -25.0708)
6485:(x,y) = (-10.9404 , -24.1372)
6486:(x,y) = (-9.97451 , -23.8784)
6487:(x,y) = (-9.58378 , -24.7989)
6488:(x,y) = (-8.63826 , -24.4734)
6489:(x,y) = (-7.89511 , -25.1425)
6490:(x,y) = (-6.90059 , -25.038)
6491:(x,y) = (-7.86185 , -24.7623)
6492:(x,y) = (-8.85805 , -24.6752)
6493:(x,y) = (-8.85805 , -23.6752)
6494:(x,y) = (-8.6331 , -22.7008)
6495:(x,y) = (-7.69341 , -23.0428)
6496:(x,y) = (-7.78056 , -24.039)
6497:(x,y) = (-8.65518 , -23.5542)
6498:(x,y) = (-9.62548 , -23.7961)
6499:(x,y) = (-8.94348 , -23.0648)
6500:(x,y) = (-9.67483 , -23.7468)
6501:(x,y) = (-9.48402 , -22.7651)
6502:(x,y) = (-8.93938 , -23.6038)
6503:(x,y) = (-9.80541 , -23.1038)
6504:(x,y) = (-10.6344 , -22.5446)
6505:(x,y) = (-11.5091 , -23.0294)
6506:(x,y) = (-12.0537 , -22.1908)
6507:(x,y) = (-12.1409 , -21.1946)
6508:(x,y) = (-11.1846 , -20.9022)
6509:(x,y) = (-10.2574 , -20.5276)
6510:(x,y) = (-9.62805 , -19.7504)
6511:(x,y) = (-9.59315 , -20.7498)
6512:(x,y) = (-8.61153 , -20.559)
6513:(x,y) = (-8.507 , -19.5645)
6514:(x,y) = (-8.007 , -20.4305)
6515:(x,y) = (-8.98515 , -20.6384)
6516:(x,y) = (-8.61054 , -19.7113)
6517:(x,y) = (-7.90343 , -20.4184)
6518:(x,y) = (-6.9048 , -20.4707)
6519:(x,y) = (-6.85247 , -19.4721)
6520:(x,y) = (-7.6815 , -18.9129)
6521:(x,y) = (-6.68287 , -18.8605)
6522:(x,y) = (-7.00844 , -19.8061)
6523:(x,y) = (-6.2313 , -20.4354)
6524:(x,y) = (-6.28363 , -19.4368)
6525:(x,y) = (-5.42647 , -19.9518)
6526:(x,y) = (-4.91143 , -20.809)
6527:(x,y) = (-5.55421 , -21.575)
6528:(x,y) = (-4.56395 , -21.7142)
6529:(x,y) = (-5.27105 , -21.0071)
6530:(x,y) = (-5.13188 , -21.9973)
6531:(x,y) = (-5.95103 , -22.5709)
6532:(x,y) = (-6.77018 , -23.1445)
6533:(x,y) = (-6.82252 , -22.1459)
6534:(x,y) = (-7.36716 , -22.9845)
6535:(x,y) = (-7.96897 , -23.7832)
6536:(x,y) = (-7.43906 , -24.6312)
6537:(x,y) = (-8.04087 , -25.4298)
6538:(x,y) = (-8.97445 , -25.7882)
6539:(x,y) = (-8.20841 , -26.431)
6540:(x,y) = (-8.46723 , -27.3969)
6541:(x,y) = (-8.77624 , -28.348)
6542:(x,y) = (-9.01816 , -27.3777)
6543:(x,y) = (-9.76131 , -26.7086)
6544:(x,y) = (-8.8408 , -27.0993)
6545:(x,y) = (-8.1337 , -26.3922)
6546:(x,y) = (-7.26767 , -26.8922)
6547:(x,y) = (-6.56057 , -26.1851)
6548:(x,y) = (-5.56057 , -26.1851)
6549:(x,y) = (-4.71252 , -26.715)
6550:(x,y) = (-5.38165 , -25.9719)
6551:(x,y) = (-6.21069 , -25.4127)
6552:(x,y) = (-7.13119 , -25.8034)
6553:(x,y) = (-7.37311 , -26.7737)
6554:(x,y) = (-6.43953 , -27.1321)
6555:(x,y) = (-7.42116 , -26.9412)
6556:(x,y) = (-7.54303 , -25.9487)
6557:(x,y) = (-8.42598 , -25.4792)
6558:(x,y) = (-7.64883 , -24.8499)
6559:(x,y) = (-7.63138 , -23.8501)
6560:(x,y) = (-8.57107 , -23.508)
6561:(x,y) = (-9.55876 , -23.6645)
6562:(x,y) = (-10.5574 , -23.6121)
6563:(x,y) = (-10.9481 , -24.5326)
6564:(x,y) = (-10.7402 , -25.5108)
6565:(x,y) = (-10.4646 , -26.4721)
6566:(x,y) = (-10.9646 , -25.606)
6567:(x,y) = (-11.0864 , -24.6135)
6568:(x,y) = (-12.02 , -24.2551)
6569:(x,y) = (-11.2429 , -24.8844)
6570:(x,y) = (-10.9173 , -25.83)
6571:(x,y) = (-10.3295 , -25.0209)
6572:(x,y) = (-10.2598 , -24.0234)
6573:(x,y) = (-9.42109 , -23.4787)
6574:(x,y) = (-10.3955 , -23.7037)
6575:(x,y) = (-9.94147 , -22.8127)
6576:(x,y) = (-9.73356 , -21.8345)
6577:(x,y) = (-8.91441 , -21.261)
6578:(x,y) = (-7.97472 , -21.603)
6579:(x,y) = (-7.31866 , -22.3577)
6580:(x,y) = (-6.32003 , -22.3053)
6581:(x,y) = (-5.35877 , -22.581)
6582:(x,y) = (-5.48064 , -21.5884)
6583:(x,y) = (-5.28983 , -20.6068)
6584:(x,y) = (-5.78983 , -21.4728)
6585:(x,y) = (-5.16051 , -22.25)
6586:(x,y) = (-5.53511 , -23.1772)
6587:(x,y) = (-4.61461 , -23.5679)
6588:(x,y) = (-4.80542 , -22.5863)
6589:(x,y) = (-5.739 , -22.2279)
6590:(x,y) = (-5.25419 , -23.1025)
6591:(x,y) = (-5.41062 , -24.0902)
6592:(x,y) = (-6.16533 , -24.7463)
6593:(x,y) = (-5.18718 , -24.9542)
6594:(x,y) = (-6.03523 , -24.4243)
6595:(x,y) = (-5.06931 , -24.1654)
6596:(x,y) = (-4.99955 , -25.163)
6597:(x,y) = (-5.7767 , -24.5337)
6598:(x,y) = (-6.1513 , -23.6065)
6599:(x,y) = (-5.87566 , -22.6452)
6600:(x,y) = (-6.08358 , -21.6671)
6601:(x,y) = (-5.32887 , -21.011)
6602:(x,y) = (-4.32887 , -21.011)
6603:(x,y) = (-5.31914 , -21.1502)
6604:(x,y) = (-4.71732 , -21.9488)
6605:(x,y) = (-4.2947 , -21.0425)
6606:(x,y) = (-4.83934 , -20.2039)
6607:(x,y) = (-3.93303 , -19.7812)
6608:(x,y) = (-4.12384 , -18.7996)
6609:(x,y) = (-3.21753 , -19.2222)
6610:(x,y) = (-2.30399 , -19.629)
6611:(x,y) = (-1.39044 , -20.0357)
6612:(x,y) = (-0.624399 , -20.6785)
6613:(x,y) = (-0.0366137 , -21.4875)
6614:(x,y) = (0.536963 , -20.6684)
6615:(x,y) = (0.84598 , -19.7173)
6616:(x,y) = (0.587161 , -20.6832)
6617:(x,y) = (-0.409034 , -20.5961)
6618:(x,y) = (-0.201122 , -21.5742)
6619:(x,y) = (-0.870253 , -22.3174)
6620:(x,y) = (0.0360548 , -22.74)
6621:(x,y) = (-0.0162811 , -21.7414)
6622:(x,y) = (0.98311 , -21.7065)
6623:(x,y) = (0.021848 , -21.9821)
6624:(x,y) = (0.178282 , -20.9944)
6625:(x,y) = (1.10547 , -20.6198)
6626:(x,y) = (0.248299 , -21.1348)
6627:(x,y) = (1.24449 , -21.222)
6628:(x,y) = (0.288189 , -20.9296)
6629:(x,y) = (-0.673073 , -21.2053)
6630:(x,y) = (-0.314705 , -20.2717)
6631:(x,y) = (-0.384461 , -21.2692)
6632:(x,y) = (-0.710029 , -20.3237)
6633:(x,y) = (-0.18011 , -21.1718)
6634:(x,y) = (0.648927 , -21.731)
6635:(x,y) = (1.20812 , -20.9019)
6636:(x,y) = (2.20067 , -20.7801)
6637:(x,y) = (2.98868 , -21.3957)
6638:(x,y) = (3.12785 , -20.4055)
6639:(x,y) = (4.06754 , -20.7475)
6640:(x,y) = (4.52153 , -21.6385)
6641:(x,y) = (4.86355 , -22.5782)
6642:(x,y) = (3.87587 , -22.7346)
6643:(x,y) = (3.24654 , -21.9575)
6644:(x,y) = (2.68735 , -22.7865)
6645:(x,y) = (2.24898 , -21.8877)
6646:(x,y) = (1.3218 , -22.2623)
6647:(x,y) = (2.32043 , -22.21)
6648:(x,y) = (2.69503 , -23.1372)
6649:(x,y) = (3.6926 , -23.2069)
6650:(x,y) = (3.45068 , -22.2366)
6651:(x,y) = (3.39834 , -23.2352)
6652:(x,y) = (3.41579 , -22.2354)
6653:(x,y) = (3.14015 , -21.2741)
6654:(x,y) = (4.04646 , -21.6968)
6655:(x,y) = (3.06165 , -21.5231)
6656:(x,y) = (2.44599 , -20.7351)
6657:(x,y) = (2.97591 , -19.8871)
6658:(x,y) = (2.00999 , -19.6282)
6659:(x,y) = (1.04872 , -19.3526)
6660:(x,y) = (0.773087 , -20.3139)
6661:(x,y) = (0.480716 , -19.3576)
6662:(x,y) = (0.822736 , -18.4179)
6663:(x,y) = (0.263543 , -19.2469)
6664:(x,y) = (0.454352 , -20.2285)
6665:(x,y) = (0.419452 , -21.2279)
6666:(x,y) = (0.794059 , -22.1551)
6667:(x,y) = (1.10308 , -23.1062)
